,precision,recall,f1-score,support
Accessories,0.9740932642487047,0.94,0.9567430025445293,200.0
Apparel,0.9796954314720813,0.965,0.9722921914357683,200.0
Footwear,0.9949748743718593,0.99,0.9924812030075187,200.0
Personal Care,0.9478672985781991,1.0,0.9732360097323601,200.0
accuracy,0.97375,0.97375,0.97375,0.97375
macro avg,0.974157717167711,0.9737499999999999,0.9736881016800442,800.0
weighted avg,0.9741577171677112,0.97375,0.9736881016800442,800.0
